1 - OK 
2 - Thumb down
3 - Exultation  
4 - Hitchhiking
5 - Block out sun
6 - Greet
7 - Military
8 - Stop
9 - Pointing
10 - Silence
11 - Suitcase
12 - Drink glass
13 - Phone
14 - Book
15 - Drink cup
16 - Bite apple
17 - Put hat
18 - Move cup
19 - Tray
20 - Take key
21 - Pour water
22 - Tennis
23 - Brush teeth
24 - Open laptop
25 - Draw a line
26 - Move pencil
27 - Tea bag
28 - Door
29 - Tennis ball
30 - Open bottle
